-0.05,-0.06,1.00
-0.05,-0.06,0.98
-0.04,-0.06,1.01
-0.03,-0.06,1.03
-0.03,-0.08,1.02
-0.02,-0.05,1.00
-0.01,-0.04,1.02
-0.05,-0.07,0.99
-0.07,-0.08,1.00
-0.06,-0.07,1.02
-0.02,-0.05,1.00
-0.01,-0.03,1.01
-0.03,-0.05,1.02
-0.06,-0.09,0.99
-0.03,-0.05,1.02
-0.02,-0.04,1.04
-0.03,-0.07,1.00
-0.05,-0.07,1.01
-0.04,-0.06,1.00
-0.03,-0.05,1.01
-0.03,-0.05,1.00
-0.05,-0.07,1.01
-0.05,-0.06,1.02
-0.04,-0.06,0.99
-0.05,-0.06,1.01
-0.04,-0.06,1.01
-0.04,-0.06,1.02
-0.04,-0.06,1.02
-0.04,-0.07,1.00
-0.03,-0.04,1.01
-0.05,-0.06,1.01
-0.06,-0.07,1.01
-0.05,-0.07,1.00
-0.03,-0.05,1.02
-0.02,-0.04,1.01
-0.04,-0.05,0.99
-0.06,-0.07,1.02
-0.05,-0.06,1.01
-0.03,-0.06,1.00
-0.04,-0.06,1.01
-0.04,-0.06,1.01
-0.04,-0.05,1.02
-0.04,-0.06,1.00
-0.04,-0.05,1.00
-0.04,-0.05,1.01
-0.04,-0.05,1.01
-0.04,-0.05,1.00
-0.05,-0.07,1.00
-0.05,-0.07,1.02
-0.03,-0.05,1.02
-0.02,-0.04,1.00
-0.04,-0.05,1.00
-0.05,-0.05,1.01
-0.05,-0.06,1.00
-0.04,-0.05,1.01
-0.04,-0.05,1.02
-0.04,-0.06,1.00
-0.04,-0.04,1.01
-0.04,-0.05,1.01
-0.04,-0.06,1.01
-0.03,-0.05,1.02
-0.04,-0.06,1.01
-0.04,-0.05,0.99
-0.03,-0.03,1.00
-0.05,-0.05,1.01
-0.06,-0.06,1.01
-0.05,-0.06,1.02
-0.03,-0.05,1.01
-0.02,-0.05,1.00
-0.03,-0.05,1.02
-0.04,-0.05,1.02
-0.04,-0.05,1.00
-0.05,-0.06,1.00
-0.03,-0.04,1.00
-0.03,-0.04,1.00
-0.04,-0.05,1.02
-0.04,-0.06,1.00
-0.04,-0.05,1.01
-0.04,-0.05,1.01
-0.04,-0.05,1.02
-0.03,-0.05,0.99
-0.03,-0.05,0.98
-0.04,-0.04,1.01
-0.04,-0.06,1.03
-0.04,-0.06,1.02
-0.03,-0.05,1.02
-0.03,-0.05,1.00
-0.03,-0.04,1.01
-0.04,-0.05,1.00
-0.06,-0.06,1.04
-0.06,-0.07,1.06
-0.04,-0.07,1.09
-0.02,-0.07,1.10
-0.04,-0.11,1.07
-0.05,-0.12,1.12
-0.04,-0.18,1.29
-0.06,-0.12,1.48
0.04,-0.02,1.72
0.03,0.00,1.93
-0.06,-0.23,1.64
-0.22,-0.37,1.10
-0.23,-0.33,1.04
-0.20,-0.21,1.24
-0.21,-0.16,1.42
-0.21,-0.16,1.40
-0.28,-0.17,1.11
-0.39,-0.18,0.81
-0.39,-0.15,0.77
-0.27,-0.04,0.88
-0.17,0.01,0.86
-0.18,0.04,0.77
-0.20,0.07,0.57
-0.19,0.10,0.49
-0.19,0.11,0.49
-0.17,0.07,0.50
-0.11,0.04,0.50
-0.08,0.05,0.56
-0.02,0.14,0.56
0.03,0.18,0.51
0.10,0.22,0.56
0.03,0.16,0.74
0.02,0.16,0.80
0.10,0.24,0.87
0.09,0.21,0.89
0.02,0.15,1.03
0.02,0.15,1.09
0.06,0.15,1.03
0.07,0.15,0.99
0.05,0.14,1.03
-0.00,0.10,1.00
-0.04,0.08,1.00
-0.11,0.03,1.03
-0.12,0.04,1.05
-0.10,0.05,1.03
-0.09,0.08,1.03
-0.12,0.09,1.05
-0.15,0.08,1.04
-0.19,0.05,1.03
-0.16,0.08,1.04
-0.15,0.09,1.02
-0.17,0.09,0.97
-0.29,0.08,0.70
-0.06,0.31,0.88
0.38,-0.14,1.77
-0.02,-0.03,1.48
-0.18,0.09,1.14
-0.24,0.15,0.35
-0.11,0.16,0.94
-0.19,0.07,1.25
-0.36,-0.10,1.21
-0.22,0.02,1.03
-0.13,0.09,1.01
-0.25,0.18,0.22
0.15,0.25,0.68
0.50,-0.06,2.13
0.01,0.03,1.45
-0.06,0.14,0.74
-0.04,0.27,0.34
-0.08,0.09,1.17
-0.16,-0.00,1.23
-0.13,0.05,0.99
-0.01,0.12,0.99
0.00,0.12,0.99
0.00,0.14,0.95
0.01,0.15,0.96
-0.02,0.13,1.01
-0.04,0.13,1.03
-0.04,0.13,0.99
-0.06,0.11,0.94
-0.07,0.11,0.98
-0.06,0.12,0.97
-0.05,0.15,0.95
-0.05,0.15,0.95
-0.05,0.15,0.94
-0.04,0.14,0.94
-0.04,0.13,0.97
-0.03,0.14,0.97
-0.03,0.14,0.92
-0.06,0.13,0.88
-0.07,0.12,0.89
-0.08,0.09,0.92
-0.07,0.10,0.94
-0.10,0.08,0.87
-0.11,0.07,0.83
-0.11,0.07,0.80
-0.10,0.07,0.80
-0.08,0.09,0.81
-0.10,0.08,0.74
-0.12,0.05,0.69
-0.15,-0.00,0.65
-0.07,-0.03,0.72
0.12,0.05,0.89
0.17,0.07,0.93
0.13,0.08,0.89
0.02,0.02,0.77
-0.03,-0.04,0.69
-0.07,-0.09,0.69
-0.06,-0.13,0.78
-0.06,-0.14,0.81
0.05,-0.06,1.00
0.08,0.00,1.17
0.02,-0.03,1.14
-0.07,-0.08,0.98
-0.17,-0.15,0.90
-0.25,-0.19,0.90
-0.30,0.03,1.14
-0.36,0.17,1.98
-0.74,0.07,3.71
-0.41,0.20,2.44
0.04,0.23,1.41
0.06,0.11,-0.02
-0.12,-0.02,-0.14
-0.08,-0.17,0.22
0.06,-0.05,0.94
0.07,0.04,1.34
0.08,0.21,1.76
0.08,0.19,1.66
0.05,0.06,1.00
-0.08,-0.00,0.67
-0.13,-0.02,0.73
-0.12,-0.02,0.96
-0.08,-0.03,1.08
-0.08,-0.04,1.09
-0.06,-0.03,1.04
-0.06,-0.01,1.01
-0.07,0.01,0.99
-0.05,0.01,1.01
-0.04,-0.00,1.02
-0.05,-0.03,1.00
-0.04,-0.03,1.01
-0.02,0.03,1.02
-0.05,0.02,0.99
-0.08,-0.01,1.02
-0.08,-0.01,1.04
-0.05,-0.02,0.99
-0.04,-0.01,0.98
-0.05,-0.01,0.99
-0.08,-0.03,1.01
-0.08,-0.03,1.01
-0.07,-0.03,1.02
-0.06,-0.02,1.02
-0.06,-0.02,1.01
-0.06,-0.03,0.99
-0.08,-0.04,1.00
-0.07,-0.04,1.00
-0.06,-0.03,1.02
-0.06,-0.03,1.02
-0.08,-0.05,1.00
-0.08,-0.05,1.01
-0.07,-0.04,0.99
-0.07,-0.03,1.01
-0.07,-0.03,1.02
-0.08,-0.04,1.03
-0.08,-0.06,1.01
-0.07,-0.06,1.00
-0.06,-0.06,1.00
-0.08,-0.06,1.00
-0.08,-0.06,1.00
-0.07,-0.05,0.99
-0.07,-0.03,1.01
-0.08,-0.04,1.00
-0.09,-0.06,0.98
-0.09,-0.06,1.00
-0.09,-0.06,1.02
-0.07,-0.04,1.01
-0.07,-0.05,1.00
-0.08,-0.06,1.00
-0.09,-0.08,1.00
-0.08,-0.07,1.02
-0.08,-0.06,1.03
-0.06,-0.05,1.00
-0.07,-0.07,1.00
-0.09,-0.08,1.00
-0.09,-0.06,1.01
-0.07,-0.04,1.01
-0.08,-0.05,0.99
-0.11,-0.09,0.99
-0.08,-0.06,1.00
-0.08,-0.07,0.99
-0.10,-0.09,1.01
-0.09,-0.08,1.01
-0.08,-0.09,1.00
-0.08,-0.09,1.01
-0.08,-0.08,1.00
-0.08,-0.08,1.00
-0.08,-0.08,1.01
-0.08,-0.08,1.00
-0.07,-0.06,1.02
-0.07,-0.06,1.01
-0.07,-0.07,0.99
-0.10,-0.09,1.00
-0.10,-0.09,1.00
-0.09,-0.07,1.01
-0.09,-0.08,1.01
-0.09,-0.09,0.99
-0.09,-0.08,0.99
-0.09,-0.08,1.00
-0.09,-0.07,1.00
-0.08,-0.06,1.01
-0.09,-0.07,0.99
-0.09,-0.07,1.00
-0.08,-0.07,1.02
-0.08,-0.08,0.99
-0.08,-0.08,1.00
-0.07,-0.07,1.01
-0.08,-0.08,1.01
-0.09,-0.07,1.02
-0.08,-0.08,1.00
-0.08,-0.08,1.00
-0.09,-0.08,1.00
-0.09,-0.07,1.00
-0.09,-0.07,0.99
-0.09,-0.08,1.00
-0.07,-0.07,1.02
